ourse Code	Course Name	Credit
0416-052-6015	Operations & Supply Chain Management	3
0417-000-2248	Industrial Management	3
0421-051-517	Legal Issues in Business	3
0488-011-1201	Business Mathematics	3
0488-011-1301	XYZ	3
0488-011-1302	Micro Economics	3
0488-011-2101	Macro Economics	3
0488-011-2102	Business Statistics	3
0488-011-2201	Quantitative Analysis for Business	3
0488-011-2202	Business Communication	3
0488-011-2203	Legal Environment of Business	3
0500-000-2284	History and Methods of Science	3
0500-000-3182	Introduction to Science Studies	3
0511-000-4181	Genetics	3
0521-000-2243	Environment and Sustainability	3
0521-000-2283	Environmental Science	3
0521-018-2157	Introduction to Sustainable Development	3
0521-018-2283	Introduction to Environmental Science	3
0522-000-2282	Biodiversity and Nature Conservation	3
0531-016-1301	Chemistry	3
0531-016-1302	Chemistry Lab	1
0533-014-1101	Physics I	3
0533-014-1102	Physics I Lab	1
0533-014-1301	Physics II	3
0541-000-4182	Mathematics	3
0541-011-0099	Remedial Math	0
0541-014-1103	Calculus and Differential Equation	3
0541-014-1203	Coordinate Geometry and Complex Variables	3
0541-014-2101	Differential Equations and Numerical Analysis	3
0541-014-2103	Linear Algebra and Numerical Analysis	3
0541-018-4182	Mathematics	3
0541-051-089	Business Math	1.5
0541-051-099	Basic Math	0
0542-000-2101	Introduction to Data and Statistics	3
0542-014-2101	Probability and Statistics	3
0542-051-513	Analytical Techniques	3
0542-051-526	Applied Business Statistics	3
0542-052-6013	Quantitative Analysis for Business	3
0613-014-1102	Introduction to Programming	1
0613-014-1201	Structured Programming	3
0613-014-1202	Structured Programming Lab	1
0613-014-1203	Discrete Mathematics	3
0613-014-1301	Data Structures	3
0613-014-1302	Data Structures Lab	1
0613-014-2101	Digital Logic Design	3
0613-014-2102	Digital Logic Design Lab	1
0613-014-2103	Object Oriented Programming	3
0613-014-2104	Object Oriented Programming Lab	1
0613-014-2200	Design Project-I	1
0613-014-2201	Algorithms	3
0613-014-2202	Algorithms Lab	1
0613-014-2203	Computer Organization and Architecture	3
0613-016-2105	Introduction to Python Programming	3
0613-016-2106	Introduction to Python Programming Lab	1
0700-000-3185	Technology and Development	3
0712-000-2151	Introduction to Climate Change	3
0712-000-2184	Renewable Energy	3
0713-016-1101	Electrical Circuits I	3
0713-016-1102	Electrical Circuits I Lab	1
0714-016-1301	Electronic Circuits I	3
0714-016-1302	Electronic Circuits Lab I	1
0714-016-2103	Electronic Circuits II	3
0714-016-2104	Electronic Circuits II Lab	1
0715-016-2201	Introductory Mechanical Engineering	3
0715-016-2205	Electrical Machines I	3
0721-000-2182	Food and Nutrition	3
0731-000-2114	World Art and Architecture	3
0731-000-2157	Introduction to Sustainable Development	3
0811-000-2185	Organic Farming/Sustainable Agriculture	3
0912-000-3282	Public Health and Epidemiology	3
3231-000-2102	Foreign Language : German I	3
BBS2201	Bangla Novel: Colonial Period	3
BGE501	Business in the Global Environment	3
BGE502	International Business	3
BLL2101	Kobita: Charja to Chondi	3
BLL2102	Presentation & Application of Bangla Writing	3
BLL2201	Bangla Novel: Colonial Period	3
BLL2202	Bangla Short Story: Colonial to Post Liberation	3
BLL2301	Bangla Drama: From Medieval to Modern	3
BLL2302	Bangla Non Fiction: Origin and Develop.	3
BLL2303	Ethnic Language & Literature	3
BLL3101	Vernacular and Folk Literature	3
BLL3102	Bangla Poem Colonial and Liberation Period	3
BLL3103	Epic: Primary & Secondary	3
BLL3201	Bangla Novel: Post Partition	3
BLL3202	Applied Linguistic	3
BLL3301	Bangladesher Shahitto	3
BLL3302	Literary Criticism	3
BLL3303	World Literature: LatinAmerica, Europe and African	3
BLL4101	Short Story: Around the World	3
BLL4102	World Drama	3
BLL4103	Professional Bangla	3
BLL4201	Woman in Literature	3
BLL4202	Diaspora Literature	3
BLL4203	Manuscript Studies	3
BUS1101	Introduction to Business	3
BUS1201	Business Mathematics	3
BUS1301	Financial Accounting	3
BUS1302	Micro Economics	3
BUS207	Financial Accounting	3
BUS2101	Macro Economics	3
BUS2102	Business Statistics	3
BUS2103	Principles of Management	3
BUS2201	Quantitative Analysis for Business	3
BUS2202	Business Communication	3
BUS2203	Legal Environment of Business	3
BUS2301	Marketing Management	3
BUS2302	Organizational Behavior	3
BUS2303	Financial Management	3
BUS3101	Human Resource Management	3
BUS3102	Entrepreneurship	3
BUS3103	International Business	3
BUS3104	Managerial Accounting	3
BUS3201	Research Methodology	3
BUS3202	Operations Management	3
BUS4111	Cost Accounting	3
BUS4112	Accouning Information System	3
BUS4113	Intermediate Accounting I	3
BUS4114	Intermediate Accounting II	3
BUS4121	Assurance and Auditing	3
BUS4131	Corporate Finance	3
BUS4132	Financial Markets and Institutions	3
BUS4133	Security Analysis and Portfolio Management	3
BUS4141	Bank Management	3
BUS4142	Project Finance	3
BUS4151	Managerial Skills Development	3
BUS4152	Industrial and Employee Relations	3
BUS4153	Human Resource Planning	3
BUS4154	Training and Development	3
BUS4162	Strategic Human Resource Management	3
BUS4171	Consumer Behavior	3
BUS4172	Service Marketing	3
BUS4173	Integrated Marketing Communication	3
BUS4183	Brand Management	3
BUS4184	Personal Selling & Sales Force Management	3
BUS4399	Internship	3
BUS498	Project	6
BUS499	Internship	6
BUS4999	Strategic Management	3
CHEM1301	Chemistry	3
CHEM1302	Chemistry Lab	1
CSE101	Introduction to Computer Studies	3
CSE1102	Introduction to Programming	1
CSE1201	Structured Programming	3
CSE1202	Structured Programming Lab	1
CSE1203	Discrete Mathematics	3
CSE1301	Data Structures	3
CSE1302	Data Structures Lab	1
CSE2101	Digital Logic Design	3
CSE2102	Digital Logic Design Lab	1
CSE2103	Object Oriented Programming	3
CSE2104	Object Oriented Programming Lab	1
CSE2105	Introduction to Python Programming	3
CSE2106	Introduction to Python Programming Lab	1
CSE2200	Design Project - I	1
CSE2201	Algorithms	3
CSE2202	Algorithms Lab	1
CSE2203	Computer Organization and Architecture	3
CSE2301	Database Management System	3
CSE2302	Database Management System Lab	1
CSE2303	Automata and Theory of Computation	3
CSE2305	Operating Systems	3
CSE2306	Operating Systems Lab	1
CSE3101	Microprocessor and Microcontroller	3
CSE3102	Microprocessor and Microcontroller Lab	1
CSE3103	System Analysis and Design	3
CSE3120	Web Programming	1
CSE3200	Design Project-II	1
CSE3201	Artificial Intelligence & Machine Learning	3
CSE3202	Artificial Intelligence & Machine Learning Lab	1
CSE3203	Software Engineering	3
CSE3205	Computer Networks	3
CSE3206	Computer Networks Lab	1
CSE3209	Data Communication and Computer Networks	3
CSE3210	Data Communication and Computer Networks Lab	1
CSE3301	Cyber Security	3
CSE4098-A	Capstone Project 1	1
CSE4098-B	Capstone Project 2	1
CSE4098-C	Capstone Project 3	2
CSE4099-A	Internship	1
CSE4099-B	Thesis	1
CSE433	Computer Security	3
CSE4415	Data Communication	3
CSE4416	Data Communication Lab	1
CSE4417	Internet of Things	3
CSE4418	Internet of Things Lab	1
CSE4419	Network Security	3
CSE4421	Wireless and Cellular Communication	3
CSE4459	Big Data Analytics	3
CSE4460	Big Data Analysis Lab	1
CSE4461	Digital Image Processing	3
CSE4462	Digital Image Processing Lab	1
CSE4463	Introduction to Bioinformatics	3
CSE4465	Natural Language Processing	3
CSE499	Project	4
ECO4601	Principles of Economics	3
ECO4602	Intermediate Economics	3
ECO4603	Money and Banking	3
ECO4604	International Trade	3
ECO4605	Environmental Economics	3
ECO4606	Development Economics	3
EEE1101	Electrical Circuits I	3
EEE1102	Electrical Circuits I Lab	1
EEE1301	Electronics Circuits I	3
EEE1302	Electronics Circuits Lab I	1
EEE2103	Electronic Circuits II	3
EEE2104	Electronic Circuits II Lab	1
EEE2205	Electrical Machines I	3
EEE2301	Digital Electronics	3
EEE2302	Digital Electronics Lab	1
EEE2309	Electrical Machines II	3
EEE2310	Electrical Machines Lab II	1
EEE2313	Signals and Systems	3
EEE3103	Digital Signal Processing	3
EEE3104	Digital Signal Processing Lab	1
EEE3105	Electrical Properties of Materials	3
EEE3109	Communication Systems	3
EEE3110	Communication Systems Lab	1
EEE3207	Power System I	3
EEE3208	Power System Lab I	1
EEE3209	Applied Machine Learning	3
EEE3210	Applied Machine Learning Lab	3
EEE3313	Electromagnetic Fields and Waves	3
EEE3316	Electrical Service Design Lab	1
EEE4103	Control System I	3
EEE4104	Control System Lab I	1
EEE4196-A	Final Year Capstone Project	1
EEE4196-B	Final Year Capstone Project	1
EEE4196-C	Final Year Capstone Project	2
EEE4401	Solid State Devices	3
EEE4425	VLSI I	3
EEE4426	VLSI I Lab	1
